title,author,pub_loc,publisher,date,format,contrib_personal,contrib_corporate,genre,location
An essay on ancient Peruvian textiles : includes black & white diagrams and a full color illustration /,"Taylor, Thomasina, 1988-",alu,"Ilene Books,",2013.,14 unnumbered double leaves : illustrations ;,,Ilene Books and Studio,Artists' books--Alabama--Tuscaloosa. Miniature books. Accordion fold format. Typefaces (Type evidence)--Bembo. Typefaces (Type evidence)--Book Antiqua.,SOUTHERNCV N7433.4 .T39 A64 2013
A guidebook to ancient Nabatean ruins at Petra : with illustrations and descriptions /,"Taylor, Thomasina, 1988-",alu,"Ilene Books,",2013.,26 unnumbered pages : color illustrations ;,,Ilene Books and Studio,Artists' books--Alabama--Tuscaloosa. Miniature books. Typefaces (Type evidence)--Bembo. Typefaces (Type evidence)--Copperplate Gothic.,SOUTHERNCV N7433.4 .T39 G85 2013
Pulp /,"Hamrick, Frank, 1977-",lau,"Old Fan Press,",[2013].,1 volume (unpaged) : color illustrations ;,,"Old Fan Press,",Artists' books--Louisiana--Ruston. Paper pulp.,SOUTHERNCV N7433.4 .H3547 P85 2013
Eight bedrooms /,"Pirkle, Amy,",alu,"Perkolator Press,",2013.,"[20] p. : chiefly col. ill., linocuts ;","Hughes, Sara Pirkle,","Perkolator Press,",Letterpress printing. Artists' books--Alabama--Tuscaloosa Linocuts--Alabama,SOUTHERNCV N7433.4 .P544 E3448 2013
"Bird's bar mitzvah, take 3 : [followed by] Bird's bar mitzvah, take 4 : the album /","Peven, Michael,",aru,"Primitive Press,",[2014],12 unnumbered pages : color illustrations ;,,"Primitive Press,",Artists' books--Arkansas--Fayetteville.,SOUTHERNCV N7433.4 .P48 B57 2014
Entwined nasturtiums.,"Rezny, Mary S.,",kyu,"[M.S. Rezny Studio & Gallery],",[2013],1 volume : color illustrations ;,,,Artists' books--Kentucky--Lexington.,SOUTHERNCV N7433.4 .R49 E58 2013
I think I have a floater /,"Rezny, Mary S.,",kyu,"M S Rezny,",[2013].,1 volume (unpaged) : illustrations ;,,,Artists' books--Kentucky--Lexington. Photography (process) Photograms. Eyeglasses. Photographic paper.,SOUTHERNCV N7433.4 .R49 I3 2013
A rose /,"Rezny, Mary S.,",kyu,"[Mary S. Rezny],",[2012].,1 volume : color illustrations ;,,,Artists' books--Kentucky--Lexington.,SOUTHERNCV N7433.4 .R49 R6 2012
Cropwork orange /,"Bookwalter, Denise,",flu,"Small Craft Advisory Press,",2012.,3 sets of 12 paper discs : color illustrations ;,"Nettles, Bea, 1946- Fichter, Robert.","Small Craft Advisory Press,",Artists' books--Florida--Tallahassee. Letterpress printing.,SOUTHERNCV N7433.4 .B66 C76 2012
Music for teacups /,"Haviland, Melissa",flu,"Small Craft Advisory Press,",2012.,1 folded chain of paper cutout teacups ;,"Colagiovanni, David, Bookwalter, Denise,","Small Craft Advisory Press,",Artists' books--Florida--Tallahassee.,SOUTHERNCV N7433.4 .H38 M87 2012
Disavowal of the matrons.,,flu,"Hybrid Media Graduate Workshop ;Small Craft Advisory Press,",[2011].,36 unnumbered pages : illustrations (some color) ;,"Bookwalter, Denise, Snodgrass, Jay,","Small Craft Advisory Press,",Artists' books--Florida--Tallahassee.,SOUTHERNCV N7433.3 .D58 2011
Jar of diamonds /,"Bookwalter, Denise,",flu,"Small Craft Advisory Press,",2011.,1 folded sheet (4 pages) : illustrations ;,"Snodgrass, Jay,","Small Craft Advisory Press,",Artists' books--Florida--Tallahassee.,SOUTHCV-OV N7433.4 .B665 J37 2011
Carte blanche /,"Snodgrass, Jay,",flu,"Small Craft Advisory Press,",[2013?].,1 folded sheet (8 unnumbered pages) : color illustrations ;,"Bookwalter, Denise, Snodgrass, Kristine,","Small Craft Advisory Press,",Artists' books--Florida--Tallahassee.,SOUTHERNCV PS3619 .N634 C37 2013
Concentrics /,"Bookwalter, Denise,",flu,"Small Craft Advisory Press,",[2012].,"1 folded sheet ([6] printed panels, with 5 numbered pages) : illustration (letterpress) ;","Snodgrass, Jay,","Small Craft Advisory Press,",Artists' books--Florida--Tallahassee. Letterpress printing. Accordion fold format (Binding) Poems.,SOUTHERNCV N7433.4 .B66 C66 2012
Experiments in paper : a curated exploration of invasive plants in Alabama as based on early botanicals /,"Barber, Kate.",alu,"Lost Arch papermill & Fifth Floor Studios, The University of Alabama, Tuscaloosa,",2013.,[12] folded sheets : col. ill. ;,,,Artists' books--Alabama--Tuscaloosa Herbaceous plants.,SOUTHERNCV N7433.4 .B354 E97 2013
Fission /,"Barber, Kate,",alu,"[Kate Barber],",[2014].,"8 unnumbered double leaves, 3 inset unnumbered pages : color illustrations ;",,,Artists' books--Alabama--Tuscaloosa. Typefaces (Type evidence)--Sang Bleu Sans Light.,SOUTHERNCV N7433.4 .B354 F57 2014
Art champs /,"Schick, Ashley L.",gau,"Capybara Press,",[2014].,"18 double leaves : color illustrations,",,"Capybara Press,",Artists' books--Georgia--Atlanta.,SOUTHERNCV N7433.4 .S354 A78 2014
A pocket guide to the Haab calendar glyphs /,"Taylor, Thomasina, 1988-",alu,"Ilene Books,",[2012].,25 unnumbered pages : color illustrations ;,,Ilene Books and Studio,Miniature books. Artists' books--Alabama--Tuscaloosa.,SOUTHERNCV N7433.4 .T39 P63 2012
Shame /,"Leeb, Susan,",ncu,"Susan Leeb,",2005.,1 volume (5 leaves) : color illustrations ;,"Goethe, Johann Wolfgang von, 1749-1832.",,Artists books--North Carolina--Chapel Hill Cutouts.,SOUTHERNCV N7433.4 .L44 S53 2005
Flag book : interaction towards a better world /,"Lopes, Fernando (Artist)",gau,"Nexus Press,",1996.,1 v. : chiefly ill. ;,,Nexus Press.Nexus Contemporary Art Center.Atlanta Committee for the Olympic Games.,Artists' books--Georgia--Atlanta.,SOUTHERNCV N7433.4 .L65 F45 1996
Otherspace : Martian ty/opography /,"Drucker, Johanna, 1952-",gau,"Nexus Press ;Interplanetary Productions,",[1992].,84 pages : illustrations (some color) ;,"Freeman, Brad, 1951-","Nexus PressInterplanetary Productions,",Artists' books--Georgia--Atlanta. Artists' books--New York--New York.,SOUTHERNCV N7433.4 .D78 O83 1992
Joni Mabe's museum book : the first museum in book form.,,gau,"Nexus Press,",1988.,[40] p. (on double leaves) : chiefly col. ill. ;,"Mabe, Joni Lee, 1957-",Nexus Press.,Artists' books--Georgia--Atlanta.,SOUTHCV-OV N7433.4 .M224 J66 1988
"Joni Mabe's classic postcard book : from her museum of obsessions, personalities, & oddities.","Mabe, Joni Lee, 1957-",gau,"Nexus Press,",1993.,[66] p. : chiefly ill. ;,,,Artists' books--Georgia--Atlanta. Postcards.,SOUTHERNCV NC1879 .M33 A4 1993
Admeasure /,"Ray, Michelle (Book artist),",alu,"Michelle Ray,",[2011].,"24 unnumbered pages : color illustrations, map ;",,,Artists' books--Alabama--Tuscaloosa. Typefaces (Type evidence)--Centaur. Typefaces (Type evidence)--Della Robbia. Cutouts. Linocuts (prints),SOUTHERNCV N7433.4 .R39 A36 2011
The cave protection act of 2013 /,"Ray, Michelle (Book artist),",flu,"Small Craft Advisory Press and formLab,",2013.,"1 volume (unpaged) : color illustrations, engravings ;",,"Small Craft Advisory Press,",Artists' books Engravings--Florida. Typefaces (Type evidence)--Gill Sans.,SOUTHERNCV N7433.4 .R387 C38 2013
"Observations of anxiety, distance, scale and language : containing an account in which I hide in a basement full of Judaica books and explore from a place of relative safety, destruction in miniature / by Michelle Ray ; embellished with stone lithography, photopolymer images and text on handmade paper.","Ray, Michelle,",alu,"[Michelle Ray],",2011.,"[14] p. : col. ill., map ;",,,Artists' books--Alabama--Tuscaloosa. Lithographs. Color lithographs.,SOUTHERNCV N7433.4 .R39 O27 2011
To come upon a street /,"Gorham, A.B.,",alu,"[Michelle Ray],",2011.,1 volume (unpaged) : illustrations (some color) ;,"Ray, Michelle,",,Artists' books--Alabama--Tuscaloosa.,SOUTHERNCV N7433.4 .G663 T6 2011
Immortals : poetry /,"Altice, Nathan.",vau,"VCUarts, Bowe House Press,",[2013].,15 (6 in. x 6 in. x 6 in.) triangular panels ;,"Mahoney, Jamie.",VCUarts Bowe House Press.Virginia Commonwealth University.,Artists' books--Virginia--Richmond.,SOUTHERNCV N7433.4 .A474 I44 2013
Conversation too /,"Dufresne, John",flu,"The Jaffe Center for Book Arts at the Florida Atlantic University Libraries,",[2013].,22 pages : illustrations (some color) ;,"Hettich, Michael, Peralta, Yaddyra, Snyder, Kari Tan, Laura, Virgin, Tom","Jaffe Center for Book Arts,",Artists' books--Florida--Boca Raton.,SOUTHCV-OV N7433.3 .C66 2013
Contemporary art appreciation 101 : how to understand what's contemporary art and what's snot /,"Bronsteen, Earl.",flu,"Art Publishers Inc. [Earl Bronsteen],",c2006.,304 p. : ill. (some col.) ;,,,Artists' books--Florida--Boca Raton.,SOUTHCV-OV N7433.4 .B754 C65 2006
Genetics lesson /,"Fessler, Ann.",gau,"Nexus Press,",c1992.,[25] p. (some folded) : ill. ;,,,Artists' books--Georgia--Atlanta.,SOUTHERNCV N7433.4 .F47 G46 1992
Mine fields /,"Burke, Bill, 1943-",gau,"Nexus Press,",1995.,114 unnumbered pages : illustrations (some color) ;,,Nexus Press,Artists' books--Georgia--Atlanta,SOUTHCV-OV TR820.6 .B875 1995
The Anti-Warhol Museum : proposals for the socially responsible disposal of Warholia /,"O'Connell, Bonnie P.",gau,"Nexus Press,",1993.,1 v. (unpaged) : ill. ;,,Nexus Press.,Artists' books--Georgia. Toy and movable books.,XXN7433.4 .O25 A4 1993
Lupus viator ... /,"Berner, Darya von.",gau,"Nexus Press,",c1997.,[220] p. : all ill. (some col.) ;,,Nexus Press.Atlanta Committee for the Olympic Games.,Artists' books--Georgia--Atlanta. Exhibition catalogs.,SOUTHCV-OV N7433.4 .B465 L8 1997
Particle theory /,"Deschamps, F.",gau,"Nexus Press,",♭1991.,77 pages : illustrations ;,"Mohns, J. Freeman, Brad, 1951-",Nexus Press.Borowsky Center for Publication Arts.,Artists' books--Georgia--Atlanta.,SOUTHERNCV N7433.4 .D475 P37 1991
Bobby : book nr. 100 /,"Smith, Keith A., 1938-",gau,"Nexus Press,",[1985],44 unnumbered pages : chiefly color illustrations ;,,Nexus Press,Artists' books--Georgia--Atlanta.,SOUTHCV-OV N7433.4 .S64 A62 1985
Rough rider /,"Trautwein, Paul.",gau,"Nexus Press,",1991.,1 v. (unpaged) : all col. ill. ;,,Nexus Press.,Artists' books--Georgia--Atlanta. Flip books.,SOUTHERNCV N7433.4 .T63 R68 1991
Interference /,"Zimmermann, Philip.",gau,"Nexus Press,",1982.,[20] pages : chiefly illustrations (some color) ;,,Nexus Press.,Artists' books--Georgia--Atlanta.,SOUTHCV-OV N7433.4 .Z55 I58 1982
Desire and the importance of failure : lo spirito della storia naturale /,"Keeley, Shelagh, 1954-",gau,"Nexus Press,",c1996.,1 v. (unpaged) : ill. (some col.) ;,"Esch, Deborah, 1954-",Nexus Press.Atlanta Committee for the Olympic Games.,,SOUTHCV-OV N7433.4 .K436 D4 1996
The wolf's bane /,"Phillips, Betsy,",tnu,"Nashville Limited Edition Club,",2014.,"292 pages, [6 unnumbered leaves] : black and white illustrations ;","Coatney, Bryce, (Illustrator), Cox, Carrie, (Artist), Crouch, Jessica Owings, Kelley, Megan, Patterson-Marx, Lesley, 1975- Knowles, Jennifer,","Brown Dog Bindery,Nashville Limited Edition Club,",Artists' books--Tennessee. Woodcuts (prints) Etchings (prints) Typefaces (Type evidence)--Century Schoolbook.,SOUTHERNCV N7433.3 .W65 2014
The effects of plant taxonomy on the flora of the Amazon Basin /,"Diehn, Gwen, 1943-",ncu,"[Gwen Diehn],",[1996],1 volume (unpaged) : color illustrations ;,,,Artists' books--North Carolina. Typefaces (Type evidence)--Courier. Hand-colored illustrations.,SOUTHERNCV N7433.4 .D53 E44 1996
Damaged Spring : pink noire /,"Drucker, Johanna, 1952-",vau,"Johanna Drucker,",2003],[26] p. : ill. ;,,,,XXPS3554 .R68 D3 2003
"Howard Finster's vision of 1982 : vision of 2.00 light years away, space born of three generations from earth to the heaven of heavens.","Finster, Howard.",gau,"Howard Finster,",1982.,100 pages : illustrations ;,,,,XXNK839 .F5 A35 1982
Bill with a beat /,"Herring, Neill,",gau,"[Neill Herring?],",[1990],8 unnumbered pages : illustrations (some color) ;,,,Artists' books--Georgia. Stamps (marks),SOUTHERNCV N7433.4 .H477 B55 1990
Harold /,"Herring, Neill,",gau,"[Neill Herring?],",[between 1980 and 1999?],20 unnumbered pages : color illustrations ;,,,Artists' books--Georgia. Stamps (marks),SOUTHERNCV N7433.4 .H477 H37 1999
Power poem /,"Laxson, Ruth.",gau,"R. Laxson],",c1980.,[16] p. : ill. ;,,,,XXN7433.4 .L39 P68 1980
They shall cast out demons /,"Burke, Bill, 1943-",xx ,"Nexus Press,",1983.,29 pages : chiefly illustrations (some color) ;,,,,XXN7433.4 .B87 T43 1983
Instructions for assembly : three how-to projects that will improve your life /,"Barton, Carol June.",gau,"Nexus Press,",©1993.,32 unnumbered pages : color illustrations ;,,,Toy and movable books. Artists' books--Georgia.,XXN7433.3 .B26 1993
New doors /,"Meador, Clifton.",gau,"Nexus Press,",1985.,14 unnumbered leaves : all illustrations ;,,,,XXN7433.4 .M43 A4 1985
"Rising, converging /","Meador, Clifton.",gau,"Nexus Press],",1988.,[32] p. : all col. ill. ;,,Nexus Press.,,XXN7433.4 .M42 R57 1988
Stampland /,"Meador, Clifton.",gau,"[C. Meador],",1988.,[24] pages : illustrations ;,,Nexus Press.,,XXN7433.4 .M3 S75 1988
In celebration of the discovery of the Abandoned Star Factory /,"Horton, David, active 1982,",gau,"Nexus Press,",[1982],24 unnumbered pages : chiefly illustrations (some mounted) ;,"Freed, Arthur,","Nexus Press,",Artists' books--Georgia.,SOUTHERNCV N7433.4 .H658 A4 1982
Codex aeroscriptus Ehrenbergensis.,"Ehrenberg, Felipe.",gau,"Nexus Press,",1990.,9 unnumbered leaves : color illustrations ;,,,Artists' books--Georgia.,XXN7433.4 .E345 C63 1990
The tornado treaty /,"Geiser, Janie.",gau,"Nexus Press,",c1985.,84 unnumbered pages : all color illustrations ;,,Nexus Press.,Artists' books--Georgia.,SOUTHERNCV N7433.4 .G42 T67 1985
The day of the rope /,"Hamilton, Kevin.",gau,"Nexus Press,",©1990.,4 unnumbered leaves : color illustrations ;,,,Artists' books--Georgia.,XXN7433.4 .H2 D2
Parallel /,"Osborn, Kevin, 1951-",gau,"Nexus Press,",[198-?],[36] pages : all color illustrations ;,,Nexus Press.,Artists' books--Georgia.,XXN7433.4 .O83 A4 1980z
Oostamera /,"Emanuel, Martin.",gau,"Nexus Press,",c1991.,77 unnumbered pages : illustrations ;,,,Artists' books--Georgia.,SOUTHERNCV N7433.4 .E48 O57 1991
Space probes : the influences of space exploration on contemporary art /,,gau,"Nexus,",1981.,20 unnumbered pages : all color illustrations ;,"Reagan, Michael. Goodman, Michael (Printer)","Nexus, Inc.",,SOUTHERNCV N5020 .A87 S63 1981
Money /,"DeCoster, Miles.",gau,"Nexus Press,",©1984.,36 unnumbered pages : color illustrations ;,,,,XXN7433.4 .D424 M66 1984
Ossabaw /,"Marshall, Nancy, 1946-",gau,"Nexus Press,",[1982],24 unnumbered pages : chiefly illustrations ;,"Goodman, Michael (Printer) Day, Annette Allyn, Prankard, William,",Nexus Press,Artists' books--Georgia. Palladium prints. Typefaces (Type evidence)--Paladium.,SOUTHCV-OV N7433.4 .M378 O87 1982
Printer's devil /,"Hastings, Pattie Belle.",gau,"Nexus Press,",[1986?],17 unnumbered leaves : chiefly illustrations ;,,Nexus Press.,Artists' books--Georgia.,SOUTHERNCV N7433.4 .H3957 P75 1986
Motorcycles from around the world /,"Trautwein, Paul.",gau,"Nexus Press,",1991.,1 folded sheet : color illustrations ;,,Nexus Press.,Artists' books--Georgia.,SOUTHERNCV N7433.4 .T69 M68 1991
Long story short : home is where the heart is /,"Zimmermann, Philip.",gau,"Nexus Press ;Space Heater Editions,",c1999.,1 volume (154 unnumbered pages) : chiefly color illustrations ;,,Nexus Press.Space Heater Editions.,Artists' books--Georgia.,SOUTHCV-OV N7433.4 .Z55 L66 1999
(Ho + go)² = it /,"Laxson, Ruth,",gau,"Nexus Press,",1986.,36 unnumbered pages : all color illustrations ;,"Meador, Clifton,","Nexus Press,",Artists' books--Georgia.,SOUTHCV-OV N7433.4 .L39 H6 1986
AT lanta 1945+50 /,"Ohtake, Shinro, 1955-",gau,"Nexus Press,",©1996.,1 volume (unpaged) : all color illustrations ;,,Nexus Press.,,XXN7433.4 .O38 A8 1996
Tropos /,"Osborn, Kevin, 1951-",vau,"Osbornbook,",1988,88 unnumbered pages : color illustrations ;,,,Artists' books--Virginia. Artists' books--Washington (D.C.),XXN7433.4 .O83 A4 1988
Little tyrannies /,"Laxson, Ruth,",gau,"Ruth Laxson, Press 63+,",[1990],1 volume (unpaged) : illustrations ;,,"Press 63+,",Artists' books--Georgia. Accordion fold format.,SOUTHERNCV N7433.4 .L39 L58 1990
Harvest /,"Hamrick, Frank, 1977-",lau,"Old Fan Press,",c2011.,1 v. (unpaged) : ill. ;,,"Green Street Press (Athens, Ga.)",Photographs.,SOUTHERNCV XXN7433.4 .H36 H37 2011
The scarlet letter /,"Hamrick, Frank, 1977-",lau,"Old Fan Press,",between 2008 and 2014.,1 volume (unpaged) ;,"Hawthorne, Nathaniel, 1804-1864.","Old Fan Press,",Artists' books--Louisiana. Unique books.,SOUTHERNCV N7433.4 .H3547 S33 2014
A Janus Press collection.,"William & Nina Matheson Books,",mdu,"William & Nina Matheson Books, Inc.,",[2008?],1 volume (unpaged) ;,"Fine, Ruth. Fine, Ruth.",,,SEVIER-OV Z232 .J36 W55 2008
"Text as inspiration : artists' books and literature : National Gallery of Art, July 30, 2011 - January 29, 2012 /",,dcu,"National Gallery of Art,",2011.,[12] p. (incl. covers) : col. ill. ;,"Doumato, Lamia.",National Gallery of Art (U.S.),Exhibition catalogs.,SEVIER N7433.3 .T49 2011 SEVIER N7433.3 .T49 2011
Pay phone /,"Thomas, Suzanne (Suzanne Lydia), 1984-",xx ,"Suzanne Thomas,",2006.,1 volume (unpaged) : color illustrations ;,"Thomas, Peter (Peter R.),",,Artists' books. Toy and movable books. Miniature books.,SEVIER N7433.4 .T535 P39 2006
"This is nothing new to any surfer, anywhere /","Weinert, Tobias,",xx ,"Suzanne Thomas,",2009.,"1 volume (unpaged) : color illustrations, maps ;","Thomas, Suzanne (Suzanne Lydia), 1984-",,Artists' books. Miniature books.,SEVIER GV839.66 .C4 W45 2009
Counting with tools /,"Thomas, Suzanne (Suzanne Lydia), 1984-",xx ,"Suzanne Thomas,",2007.,1 volume (unpaged) : color illustrations ;,,,Artists' books. Counting books. Miniature books.,SEVIER N7433.4 .T535 C68 2007
1-2-3 France /,"Thomas, Suzanne (Suzanne Lydia), 1984-",xx ,"Suzanne Thomas,",2006.,"1 volume (unpaged) : all color illustrations, maps ;",,,Miniature books.,SEVIER N7433.4 .T535 F73 2006
Hotspring camping : Suzanne & Rebecca in the Southern Sierra : along the Kern River /,"Thomas, Suzanne (Suzanne Lydia), 1984-",xx ,"Suzanne Thomas,",2006.,10 unnumbered pages : color illustrations ;,"Thomas, Peter (Peter R.),",,Artists' books--California. Miniature books.,SEVIER N7433.4 .T535 H68 2006 SEVIER N7433.4 .T535 H68 2006
Letters.,,tnu,"[Peter and Donna Thomas] :[Middle Tennessee State University],",2015.,1 volume (unnumbered) : color illustrations ;,"Thomas, Peter (Peter R.), Thomas, Donna, O'Connell, Kathleen Ann, 1980-","Peter & Donna Thomas (Firm),Middle Tennessee State University,",Artists' books--Tennessee. Alphabet books,SOUTHERNCV N7433.3 .L48 2015
Multiple world : an international survey of artists' books.,,gau,"Atlanta College of Art Gallery, the Robert W. Woodruff Arts Center,",[1994],1 volume (unpaged) ;,,Atlanta College of Art.,Exhibition catalogs.,SOUTHERNCV XXN7433.3 .M85 1994x
Doctor Mister Miracles's guide to miracle-making : a manual (abridged).,"Hockensmith, Josh,",ncu,"Blue Bluer Books,Printed by R.B. Hull at Tri Printers, Inc.",2013.,20 unnumbered pages : color illustrations ;,,Blue Bluer Books (Firm),Artists' books--North Carolina. Specimens.,SOUTHERNCV XXN7433.4 .H62 D62 2013
An exquisite future.,,dcu,"Marginalia Press, Corcoran School of the Arts and Design, George Washington University,",2014.,"1 volume (unpaged, some pages folded) : color illustrations ;","McDermott, Sarah.","Marginalia Press.George Washington University.Corcoran College of Art + Design (Washington, D.C.)","Artists' books--United States--Washington, D.C.",SOUTHERNCV XXN7433.35 .U6 E97 2014
[Hands /,"Pirkle, Amy.",alu,"Perkolator Press,",2014.,1 v. : chiefly col. ill. ;,"Hughes, Sara Pirkle.",,,SOUTHERNCV XX(4667095.1)
Museum /,"Collins, Billy,",alu,"Red Hydra Press,",2014,10 unnumbered leaves ;,"Miller, Steve, 1950-","Red Hydra Press,Papeterie St-Armand,",Artists' books--Alabama--Tuscaloosa Typefaces (Type evidence)--Centaur. Typefaces (Type evidence)--Charlemagne. Authors' autographs (Provenance)--Collins Handmade papers (Paper) Poetry. Specimens.,SOUTHERNCV XXPS3553 .O47478 .M8 2014
Twelve fables set in the Shawnee Hills /,"Jones, Rodney, 1950-",alu,"Red Hydra Press,",2014.,[24] pages : illustrations ;,"Embree, Anna, Miller, Steve, 1950- Moore, Dana (Painter),","Red Hydra Press,",Pictorial works. Specimens.,SOUTHERNCV XX(4667112.1)
Unbound /,"Peterson, Jessica,",vau,"Paper Souvenir,Short Twig Press, Longwood University,",2014.,1 volume (unpaged) : color illustrations ;,,"Paper Souvenir (Firm),Short Twig Press,",Artists' books. Visual literature. Artists' books--Alabama,SOUTHERNCV XXN7433.4 .P48 U53 2014
Lining /,"Bookwalter, Denise,",flu,"Small Craft Advisory Press,",2013.,6 unnumbered folded leaves : illustrations ;,"Running, Lee Emma,","Small Craft Advisory Press,",Artists' books--Florida--Tallahassee Fabric books. Letterpress printing.,SOUTHERNCV XXN7433.4 .B666 L56 2013
